Site,Position,Distance (m),Depth (ft),Revolutions,Time (s)
Deer Creek Left,1,0.3,0.2,52,40
Deer Creek Left,2,0.6,0.15,27,40
Deer Creek Left,3,1.4,0.15,13,40
Deer Creek Right,1,0.2,0.7,31,40
Deer Creek Right,2,0.6,0.4,27,40
Deer Creek Right,3,0.8,0.5,36,40
Deer Creek Right,4,1.2,0.4,29,40
Deer Creek Right,5,1.5,0.3,16,40
Snake River,1,0.6,0.6,23,40
Snake River,2,1.1,0.3,106,55
Snake River,3,2,0.2,42,40
Snake River,4,2.6,0.15,18,40
Confluence,1,0.6,0.15,44,40
Confluence,2,1,0.35,35,40
Confluence,3,1.3,0.4,47,40
Confluence,4,1.9,0.5,75,40
Confluence,5,2.8,0.6,25,40
Confluence,6,5.1,0.5,17,40
Confluence,7,6,0.6,50,40